"","pitcher_name","player_name","game_date","events","launch_angle","launch_speed","video_url"
"35","Dylan Cease","Betts, Mookie",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=4561eebf-68d4-4991-9bb6-45b92462f1bb"
"36","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,"walk",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=ac980503-acb8-4e3d-89ac-4b3cd1cb9e23"
"37","Dylan Cease","Betts, Mookie",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=c088a271-36b8-4b67-a418-789a04517cd1"
"38","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=2360ec0a-09a4-4dd8-b01a-cfb234fc3d23"
"39","Dylan Cease","Betts, Mookie",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b511aec6-0018-49f5-b2b4-093c810da2cb"
"40","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=1146e4bc-5d75-4cbf-b66d-aef2d0384dc9"
"41","Dylan Cease","Betts, Mookie",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=dae75045-396c-4fca-8188-b0301062ed51"
"42","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,25,79.1,"https://baseballsavant.mlb.com/sporty-videos?playId=7cb28756-0722-4c2b-8a83-227cb1ea4972"
"43","Dylan Cease","Betts, Mookie",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=8e902b24-5ecb-473d-8819-5656e82a8fa3"
"44","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b14151c3-c4c5-449f-a3ab-6dd0bd7d5cc2"
"45","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=5a086a25-1319-47e6-bfd9-3e753b58206a"
"46","Dylan Cease","Betts, Mookie",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=537beb5d-f2b5-4497-b4f4-9387d4a6d666"
"47","Dylan Cease","Ohtani, Shohei",2024-10-05,"home_run",25,111.8,"https://baseballsavant.mlb.com/sporty-videos?playId=bbfbf867-075a-42bd-991e-2d6ca5c25735"
"48","Yoshinobu Yamamoto","Merrill, Jackson",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=1e54b006-8fdc-430b-8438-bd15f602d1dd"
"49","Yoshinobu Yamamoto","Machado, Manny",2024-10-05,"field_out",41,104.6,"https://baseballsavant.mlb.com/sporty-videos?playId=63013c66-f0b5-45e9-87dc-03222117e429"
"50","Dylan Cease","Ohtani, Shohei",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=03c8d203-bc38-4dea-87a8-2ba53f95f1b0"
"51","Dylan Cease","Ohtani, Shohei",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=eef5015d-14a9-4dcb-82b2-518b40f41124"
"52","Yoshinobu Yamamoto","Profar, Jurickson",2024-10-05,"field_out",63,80,"https://baseballsavant.mlb.com/sporty-videos?playId=ca1b8b90-42fa-45ea-bc6b-1bc6306e7b40"
"53","Dylan Cease","Ohtani, Shohei",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=381fb389-d937-42ab-9c40-f464eac7b9c8"
"54","Yoshinobu Yamamoto","Tatis Jr., Fernando",2024-10-05,"double",1,118.9,"https://baseballsavant.mlb.com/sporty-videos?playId=bb1aca42-5b45-470a-aab8-b06a18fa70eb"
"55","Yoshinobu Yamamoto","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=3c2e10ce-4f39-4412-b820-3b62e396e347"
"56","Dylan Cease","Rojas, Miguel",2024-10-05,"field_out",59,79.6,"https://baseballsavant.mlb.com/sporty-videos?playId=9fb57c71-b7f8-4cfa-ae52-e5d542a0fcb3"
"57","Yoshinobu Yamamoto","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=0cf1dc88-b42d-4930-90b1-08a5f0c779ef"
"58","Dylan Cease","Rojas, Miguel",2024-10-05,NA,31,85.6,"https://baseballsavant.mlb.com/sporty-videos?playId=43e9f8f8-ef02-455c-a763-c04803ba9397"
"59","Yoshinobu Yamamoto","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=8c0c0d22-fe7b-4ebb-b8a8-e32a942ea040"
"60","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=d0a8def8-0bd0-480b-96c6-05a06aaf0506"
